game_pk,game_date_et,season,team_id,team_abbr,is_home,opp_sp_hand,ab,h,d,t3,hr,bb,hbp,sf,pa,obp,slg,runs_scored
661802,4/10/2022,2022,140,TEX,0,L,37,11,2,0,3,7,0,1,45,0.4,0.5946,12
661802,4/10/2022,2022,141,TOR,1,R,36,10,2,0,4,1,1,0,38,0.3158,0.6667,6
661738,4/10/2022,2022,142,MIN,1,L,35,10,1,0,6,3,0,0,38,0.3421,0.8286,10
661129,4/10/2022,2022,143,PHI,1,R,29,3,0,0,1,3,0,0,32,0.1875,0.2069,1
661573,4/10/2022,2022,144,ATL,1,R,32,7,1,0,2,2,0,1,35,0.2571,0.4375,3
662887,4/10/2022,2022,145,CWS,0,L,39,13,5,0,1,3,0,1,43,0.3721,0.5385,10
661316,4/10/2022,2022,147,NYY,1,R,36,11,2,0,0,4,1,0,41,0.3902,0.3611,3
663204,4/10/2022,2022,158,MIL,0,R,31,5,1,0,3,5,0,0,36,0.2778,0.4839,5
661036,4/11/2022,2022,108,LAA,1,R,30,7,2,0,2,6,0,0,36,0.3611,0.5,6
663403,4/11/2022,2022,110,BAL,1,R,31,6,1,0,0,6,0,0,37,0.3243,0.2258,2
662863,4/11/2022,2022,111,BOS,0,R,31,4,1,0,1,0,0,0,31,0.129,0.2581,1
662754,4/11/2022,2022,114,CLE,0,R,38,13,2,1,1,5,0,0,44,0.4186,0.5263,10
662042,4/11/2022,2022,115,COL,0,L,42,14,3,1,2,2,3,0,47,0.4043,0.5952,6
662863,4/11/2022,2022,116,DET,1,R,31,8,2,0,1,3,0,1,35,0.3143,0.4194,3
662754,4/11/2022,2022,118,KC,1,R,35,9,0,0,1,5,2,0,42,0.381,0.3429,7
661572,4/11/2022,2022,120,WSH,0,R,41,15,2,0,1,7,1,0,49,0.4694,0.4878,11
661637,4/11/2022,2022,121,NYM,0,L,33,7,0,0,0,3,0,0,37,0.2778,0.2121,4
661915,4/11/2022,2022,133,ATH,0,R,41,13,2,1,4,3,1,0,45,0.3778,0.7073,13
662018,4/11/2022,2022,134,PIT,0,L,32,7,1,0,1,3,0,0,35,0.2857,0.3438,1
662116,4/11/2022,2022,135,SD,0,L,37,10,1,0,1,4,1,0,42,0.3571,0.3784,4
661754,4/11/2022,2022,136,SEA,0,R,31,2,1,0,0,3,0,0,34,0.1471,0.0968,0
662116,4/11/2022,2022,137,SF,1,R,34,10,2,0,0,4,1,1,40,0.375,0.3529,2
662018,4/11/2022,2022,138,STL,1,R,34,7,0,0,1,3,1,0,38,0.2895,0.2941,3
661915,4/11/2022,2022,139,TB,1,R,35,8,1,0,0,1,0,0,36,0.25,0.2571,2
662042,4/11/2022,2022,140,TEX,1,L,36,9,1,0,1,4,0,0,40,0.325,0.3611,4
661315,4/11/2022,2022,141,TOR,0,R,37,10,2,0,1,0,1,0,38,0.2895,0.4054,3
661754,4/11/2022,2022,142,MIN,1,R,32,10,3,0,0,3,0,0,36,0.3714,0.4063,4
661637,4/11/2022,2022,143,PHI,1,R,30,8,3,0,1,4,0,0,34,0.3529,0.4667,5
661572,4/11/2022,2022,144,ATL,1,L,31,4,1,0,0,3,0,0,34,0.2059,0.1613,2
661036,4/11/2022,2022,146,MIA,0,R,30,3,1,0,2,0,0,0,30,0.1,0.3333,2
661315,4/11/2022,2022,147,NYY,1,R,29,4,0,0,0,5,1,0,35,0.2857,0.1379,0
663403,4/11/2022,2022,158,MIL,0,L,32,6,2,0,0,4,0,0,36,0.2778,0.25,0
661038,4/12/2022,2022,108,LAA,1,L,29,4,0,1,1,3,0,0,32,0.2188,0.3103,4
662862,4/12/2022,2022,111,BOS,0,L,34,9,3,0,0,2,1,0,38,0.3243,0.3529,5
662318,4/12/2022,2022,112,CHC,0,L,32,8,1,0,2,2,0,0,34,0.2941,0.4688,2
663088,4/12/2022,2022,113,CIN,1,R,29,5,3,0,1,3,0,0,32,0.25,0.3793,5
663088,4/12/2022,2022,114,CLE,0,R,35,11,3,2,2,5,1,1,42,0.4048,0.6857,10
661995,4/12/2022,2022,115,COL,0,L,31,7,3,0,0,3,2,1,38,0.3243,0.3226,4
662862,4/12/2022,2022,116,DET,1,L,31,5,3,0,0,2,0,0,33,0.2121,0.2581,3
663411,4/12/2022,2022,117,HOU,0,L,34,8,2,0,1,5,0,0,39,0.3333,0.3824,2
662017,4/12/2022,2022,118,KC,0,R,34,8,1,0,3,2,0,0,36,0.2778,0.5294,5
661753,4/12/2022,2022,119,LAD,0,R,35,9,3,1,0,9,0,1,45,0.4,0.4,7
661571,4/12/2022,2022,120,WSH,0,R,35,9,3,0,2,1,0,0,36,0.2778,0.5143,4
661636,4/12/2022,2022,121,NYM,0,R,29,3,0,0,1,3,2,0,34,0.2353,0.2069,2
662318,4/12/2022,2022,134,PIT,1,L,33,6,2,0,1,0,0,0,33,0.1818,0.3333,1
662104,4/12/2022,2022,135,SD,0,R,30,5,2,0,0,6,0,0,36,0.3056,0.2333,2
662104,4/12/2022,2022,137,SF,1,R,37,15,2,0,3,4,1,1,43,0.4651,0.7027,13
662017,4/12/2022,2022,138,STL,1,L,34,10,2,0,3,2,0,0,36,0.3333,0.6176,6
661944,4/12/2022,2022,139,TB,1,R,43,13,5,1,3,8,0,0,51,0.4118,0.6744,9
661995,4/12/2022,2022,140,TEX,1,R,31,4,0,0,0,5,1,0,37,0.2703,0.129,1
661314,4/12/2022,2022,141,TOR,0,L,33,5,2,0,0,0,0,0,33,0.1515,0.2121,0
661753,4/12/2022,2022,142,MIN,1,L,33,5,3,0,0,3,1,0,37,0.2432,0.2424,2
661636,4/12/2022,2022,143,PHI,1,R,31,6,2,0,0,0,0,0,32,0.1935,0.2581,0
661571,4/12/2022,2022,144,ATL,1,L,42,19,5,0,3,9,1,0,52,0.5577,0.7857,16
661038,4/12/2022,2022,146,MIA,0,L,31,5,0,0,1,7,0,0,38,0.3158,0.2581,3
661314,4/12/2022,2022,147,NYY,1,L,28,7,4,0,1,3,1,1,33,0.3333,0.5,4
663341,4/13/2022,2022,109,AZ,1,L,33,6,0,0,0,9,3,1,47,0.3913,0.1818,3
663433,4/13/2022,2022,110,BAL,1,R,30,5,1,0,0,3,2,1,36,0.2778,0.2,2
662885,4/13/2022,2022,111,BOS,0,L,37,12,6,0,1,6,0,2,46,0.4,0.5676,9
662317,4/13/2022,2022,112,CHC,0,R,32,6,1,0,1,3,0,0,35,0.2571,0.3125,2
663117,4/13/2022,2022,113,CIN,1,R,33,7,2,0,2,0,2,0,35,0.2571,0.4545,3
663117,4/13/2022,2022,114,CLE,0,L,40,13,2,0,4,4,2,0,46,0.413,0.675,7
662885,4/13/2022,2022,116,DET,1,R,38,11,1,0,3,3,1,0,42,0.3571,0.5526,7
663341,4/13/2022,2022,117,HOU,0,R,34,6,0,0,0,4,0,2,40,0.25,0.1765,2
662009,4/13/2022,2022,118,KC,0,L,32,5,2,0,0,0,1,0,33,0.1818,0.2188,0
661734,4/13/2022,2022,119,LAD,0,R,38,11,3,0,4,4,1,1,44,0.3636,0.6842,7
661570,4/13/2022,2022,120,WSH,0,L,33,7,1,0,0,0,0,1,34,0.2059,0.2424,3
661643,4/13/2022,2022,121,NYM,0,R,33,9,3,1,2,6,3,1,43,0.4186,0.6061,9
661943,4/13/2022,2022,133,ATH,0,L,32,5,1,0,1,4,0,0,36,0.25,0.2813,4
662317,4/13/2022,2022,134,PIT,1,R,30,8,1,1,1,5,0,0,35,0.3714,0.4667,6
662115,4/13/2022,2022,135,SD,0,R,32,5,2,1,0,1,1,0,34,0.2059,0.2813,1
661530,4/13/2022,2022,136,SEA,0,L,35,8,2,0,1,1,0,0,36,0.25,0.3714,4
662115,4/13/2022,2022,137,SF,1,L,27,4,2,0,0,2,0,0,29,0.2069,0.2222,2
662009,4/13/2022,2022,138,STL,1,R,27,4,1,0,1,1,0,0,28,0.1786,0.2963,1
661943,4/13/2022,2022,139,TB,1,R,36,8,0,0,1,2,0,0,38,0.2632,0.3056,2
661313,4/13/2022,2022,141,TOR,0,R,35,8,2,0,3,2,0,0,38,0.2703,0.5429,6
661734,4/13/2022,2022,142,MIN,1,L,28,1,0,0,0,1,0,0,29,0.069,0.0357,0
661643,4/13/2022,2022,143,PHI,1,R,34,9,2,0,1,6,1,1,42,0.381,0.4118,6
661570,4/13/2022,2022,144,ATL,1,R,27,3,0,0,1,3,1,0,31,0.2258,0.2222,1
661530,4/13/2022,2022,145,CWS,1,L,32,10,1,0,3,4,0,0,36,0.3889,0.625,6
661313,4/13/2022,2022,147,NYY,1,R,36,10,2,0,3,3,0,0,39,0.3333,0.5833,4
663433,4/13/2022,2022,158,MIL,0,L,33,7,2,1,0,4,0,0,37,0.2973,0.3333,4
661993,4/14/2022,2022,108,LAA,0,R,36,11,4,0,2,6,0,0,42,0.4048,0.5833,5
662950,4/14/2022,2022,112,CHC,0,L,33,10,3,0,1,2,1,0,36,0.3611,0.4848,5
662627,4/14/2022,2022,113,CIN,0,R,32,6,1,0,2,3,0,0,35,0.2571,0.4063,3
662950,4/14/2022,2022,115,COL,1,L,37,10,1,0,0,4,0,0,41,0.3415,0.2973,2
662702,4/14/2022,2022,116,DET,0,R,32,9,0,0,0,2,1,1,36,0.3333,0.2813,4
662702,4/14/2022,2022,118,KC,1,R,34,7,0,2,0,3,0,0,37,0.2703,0.3235,2
662307,4/14/2022,2022,120,WSH,0,R,34,8,0,0,0,6,0,1,41,0.3415,0.2353,4
661942,4/14/2022,2022,133,ATH,0,L,35,9,2,0,0,3,0,0,38,0.3158,0.3143,6
662307,4/14/2022,2022,134,PIT,1,R,37,14,2,1,2,8,0,1,46,0.4783,0.6486,9
662237,4/14/2022,2022,135,SD,1,R,40,16,3,0,2,5,2,1,48,0.4792,0.625,12
661292,4/14/2022,2022,138,STL,0,R,30,5,0,0,1,1,0,0,33,0.1935,0.2667,1
661942,4/14/2022,2022,139,TB,1,L,33,7,2,0,1,0,0,0,33,0.2121,0.3636,3
661993,4/14/2022,2022,140,TEX,1,R,39,13,2,0,2,3,0,0,42,0.381,0.5385,10
661312,4/14/2022,2022,141,TOR,0,R,31,5,1,0,0,5,2,0,38,0.3158,0.1935,0
661418,4/14/2022,2022,143,PHI,0,R,35,11,3,0,0,2,1,1,39,0.359,0.4,3
662237,4/14/2022,2022,144,ATL,0,R,32,6,1,0,1,0,0,0,32,0.1875,0.3125,1
661529,4/14/2022,2022,145,CWS,1,R,32,4,0,0,0,1,0,0,33,0.1515,0.125,1
661418,4/14/2022,2022,146,MIA,1,R,29,6,1,1,1,5,0,0,34,0.3235,0.4138,4
661312,4/14/2022,2022,147,NYY,1,R,31,8,2,0,0,1,0,0,32,0.2813,0.3226,3
661292,4/14/2022,2022,158,MIL,1,R,33,9,2,1,1,3,0,0,36,0.3333,0.4848,5
662014,4/15/2022,2022,108,LAA,0,R,36,11,1,0,5,2,0,1,39,0.3333,0.75,9
662485,4/15/2022,2022,109,AZ,0,R,29,3,2,0,1,5,1,0,35,0.2571,0.2759,3
