2026-04-19T23:15:58Z	SKIPPED	job_id=506	type=group_brief	date_et=2026-04-19	started_utc=2026-04-19T23:15:58Z	finished_utc=2026-04-19T23:15:58Z	err=rc=2 [TIME] Running as-of: 2026-04-19 19:15 ET ✗  Non-prior sessions require --as-of-time HH:MM (ET) or full --as-of 'YYYY-MM-DD HH:MM' (ET). | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-20T10:10:47Z	SKIPPED	job_id=562	type=day_setup	date_et=2026-04-20	started_utc=2026-04-20T10:10:46Z	finished_utc=2026-04-20T10:10:47Z	err=rc=1 Traceback (most recent call last):   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\jobs\schedule_pipeline_day.py", line 972, in <module>     main()   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\jobs\schedule_pipeline_day.py", line 764, in main     _emit_group_slate_report(   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\jobs\schedule_pipeline_day.py", line 237, in _emit_group_slate_report     print("\n" + "\u2550" * 72)   File "C:\Users\sevan\anaconda3\Lib\encodings\cp1252.py", line 19, in encode     return codecs.charmap_encode(input,self.errors,encoding_table)[0]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ UnicodeEncodeError: 'charmap' codec can't encode characters in position 2-73: character maps to <undefined> | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-22T01:44:01Z	SKIPPED	job_id=793	type=daily_backup	date_et=2026-04-21	started_utc=2026-04-22T01:44:01Z	finished_utc=2026-04-22T01:44:01Z	err=no command mapping for job_type='daily_backup' | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-22T08:57:28Z	SKIPPED	job_id=793	type=daily_backup	date_et=2026-04-21	started_utc=2026-04-22T08:57:28Z	finished_utc=2026-04-22T08:57:28Z	err=rc=1 Traceback (most recent call last):   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\utils\daily_backup.py", line 27, in <module>     from core.db.connection import get_db_path ModuleNotFoundError: No module named 'core' | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-22T16:25:54Z	SKIPPED	job_id=860	type=email_runlog_morning	date_et=2026-04-22	started_utc=2026-04-22T16:25:54Z	finished_utc=2026-04-22T16:25:54Z	err=no command mapping for job_type='email_runlog_morning' | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-26T11:10:37Z	SKIPPED	job_id=1038	type=odds_check	date_et=2026-04-25	started_utc=2026-04-26T11:10:36Z	finished_utc=2026-04-26T11:10:37Z	err=rc=1 ⚠  No scheduled games found for 2026-04-25.      Run: python batch/ingestion/load_today.py --date YYYY-MM-DD      Or:  python batch/ingestion/load_mlb_stats.py  (schedule + boxscores) | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-27T10:02:14Z	SKIPPED	job_id=1063	type=build_team_wma	date_et=2026-04-27	started_utc=2026-04-27T10:02:14Z	finished_utc=2026-04-27T10:02:14Z	err=rc=1 Traceback (most recent call last):   File "<frozen runpy>", line 198, in _run_module_as_main   File "<frozen runpy>", line 88, in _run_code   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\pipeline\build_team_wma.py", line 470, in <module>     main()   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\pipeline\build_team_wma.py", line 462, in main     _print_sample(con, seasons)   File "C:\Users\sevan\OneDrive\Documents\Python_Scripts\mlb_stats\batch\pipeline\build_team_wma.py", line 308, in _print_sample     print("\n\u2500\u2500 Sample output (10 rows, most recent first) \u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500\u2500")   File "C:\Users\sevan\anaconda3\Lib\encodings\cp1252.py", line 19, in encode     return codecs.charmap_encode(input,self.errors,encoding_table)[0]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ UnicodeEncodeError: 'charmap' codec can't encode characters in position 2-3: character maps to <undefined> | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-04-30T10:10:30Z	SKIPPED	job_id=1204	type=odds_check	date_et=2026-04-29	started_utc=2026-04-30T10:10:30Z	finished_utc=2026-04-30T10:10:30Z	err=rc=1 ⚠  No scheduled games found for 2026-04-29.      Run: python batch/ingestion/load_today.py --date YYYY-MM-DD      Or:  python batch/ingestion/load_mlb_stats.py  (schedule + boxscores) | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-06-24T14:45:28Z	SKIPPED	job_id=3568	type=odds_check	date_et=2026-06-24	started_utc=2026-06-24T14:45:28Z	finished_utc=2026-06-24T14:45:28Z	err=rc=1 Checking odds readiness for 2026-06-24 (16 games)...   ✓  TEX@MIA         12:10 PM ET    closing ML odds present   ✓  CHC@NYM         1:10 PM ET     closing ML odds present   ✓  CLE@CWS         2:10 PM ET     closing ML odds present   ✓  BOS@COL         3:10 PM ET     closing ML odds present   ✓  BAL@LAA         4:07 PM ET     closing ML odds present   ✓  KC@TB           6:40 PM ET     closing ML odds present   ✓  SEA@PIT         6:40 PM ET     closing ML odds present   ✓  NYY@DET         6:40 PM ET     closing ML odds present   ✓  PHI@WSH         6:45 PM ET     closing ML odds present   ✓  HOU@TOR         7:07 PM ET     closing ML odds present   ✓  MIL@CIN         7:10 PM ET     closing ML odds present   ✓  LAD@MIN         7:40 PM ET     closing ML odds present   ✓  AZ@STL          7:45 PM ET     closing ML odds present   ✓  ATL@SD          8:40 PM ET     closing ML odds present   ✓  ATH@SF          9:45 PM ET     closing ML odds present   ✗  CHC@NYM         7:10 PM ET     NO ODDS IN DB — books may not have posted yet    ✗  1 game(s) have no odds: CHC@NYM    Options:     1. Re-run: python batch/ingestion/load_odds.py --pregame --markets game        Then wait 30–60 min for books to post lines and rerun this check     2. Run:    python batch/pipeline/generate_daily_brief.py --warn-missing        (those games will show N/A odds and skip signal evaluation) | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
2026-06-24T15:45:49Z	SKIPPED	job_id=3569	type=odds_check	date_et=2026-06-24	started_utc=2026-06-24T15:45:49Z	finished_utc=2026-06-24T15:45:49Z	err=rc=1 Checking odds readiness for 2026-06-24 (16 games)...   ✓  TEX@MIA         12:10 PM ET    closing ML odds present   ✓  CHC@NYM         1:10 PM ET     closing ML odds present   ✓  CLE@CWS         2:10 PM ET     closing ML odds present   ✓  BOS@COL         3:10 PM ET     closing ML odds present   ✓  BAL@LAA         4:07 PM ET     closing ML odds present   ✓  KC@TB           6:40 PM ET     closing ML odds present   ✓  SEA@PIT         6:40 PM ET     closing ML odds present   ✓  NYY@DET         6:40 PM ET     closing ML odds present   ✓  PHI@WSH         6:45 PM ET     closing ML odds present   ✓  HOU@TOR         7:07 PM ET     closing ML odds present   ✓  MIL@CIN         7:10 PM ET     closing ML odds present   ✓  LAD@MIN         7:40 PM ET     closing ML odds present   ✓  AZ@STL          7:45 PM ET     closing ML odds present   ✓  ATL@SD          8:40 PM ET     closing ML odds present   ✓  ATH@SF          9:45 PM ET     closing ML odds present   ✗  CHC@NYM         7:10 PM ET     NO ODDS IN DB — books may not have posted yet    ✗  1 game(s) have no odds: CHC@NYM    Options:     1. Re-run: python batch/ingestion/load_odds.py --pregame --markets game        Then wait 30–60 min for books to post lines and rerun this check     2. Run:    python batch/pipeline/generate_daily_brief.py --warn-missing        (those games will show N/A odds and skip signal evaluation) | terminal=skipped after 5 attempts (deps unblocked — assume manual follow-up)
